grade,age,gender,live,times moved,now living,time work,time no adult,time friend,time school act,time noschool act,time reading,time church,time HW,time excersize,time fruit,30 smoke,30 5drinks,30dr driving,30 cig,30cigars,30drink,30marijuana,30glue,30meth,30coke,30amph,30prescription,30counter,30chew,30steroid,30barbituates,pride,truth,values drug,responsibility,friends,fix problems,decision,excite,hard work,Pop cig,Pop drink,Pop marijuana,Pop otherdrug,safe,best school,talk adult,grades,home rules,home happy,home al drug,home close,home talk,home support,home know,home chores,home wrong,home praise,Wpdrink,N safe,
6th,11,Female,"In a small city or town, less than 5,000 population",Four times or more,with a parent/s,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,-1,-1,"I have never tried cigarette smoking, not even a few puffs",0 days,6 or more days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Strongly disagree,Strongly agree,.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A lot less popular,Less popular,Less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Below average,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Always,Always,Always,Sometimes,Very wrong,Strongly agree,
6th,11,Female,"In a large city over 30,000 population",Three times,with a parent/s,0 hours,1-2 hours,0 hours,11 or more hours,11 or more hours,3-5 hours,1-2 hours,11 or more hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,1-2 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,.,Strongly agree,Agree,Strongly agree,Agree,.,Strongly agree,.,More popular,Less popular,A lot less popular,Wouldnt change my popularity,Strongly agree,Agree,Strongly agree,Above average,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Sometimes,Often,Sometimes,Very wrong,Strongly agree,
6th,11,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,3-5 hours,0 hours,11 or more hours,1-2 hours,1-2 hours,3-5 hours,1,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Average,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,-1,Often,-1,Wrong,Agree,
6th,11,Female,"In a large city over 30,000 population",Three times,other,0 hours,0 hours,1-2 hours,0 hours,0 hours,6-10 hours,0 hours,3-5 hours,7,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,Excellent,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Often,Very wrong,Agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,3-5 hours,0 hours,3-5 hours,2,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Strongly agree,Average,Agree,Agree,Agree,Agree,Agree,Agree,Always,Sometimes,Always,Never,Very wrong,Agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Twice,with a parent/s,0 hours,3-5 hours,0 hours,0 hours,0 hours,1-2 hours,0 hours,1-2 hours,7,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Agree,Strongly agree,Average,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Agree,Always,Sometimes,Sometimes,Always,Very wrong,Strongly agree,
6th,11,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,0 hours,2,2 times per day,I did not smoke cigarettes during the past 30 days,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Agree,.,Agree,Agree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Wrong,Agree,
6th,11,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,1-2 hours,3-5 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Often,Always,Very wrong,Strongly agree,
6th,11,Female,"In a large city over 30,000 population",None,with a parent/s,1-2 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Excellent,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Always,Always,Often,Always,Very wrong,Agree,
6th,11,Female,"In a large city over 30,000 population",Once,with a parent/s,0 hours,0 hours,1-2 hours,3-5 hours,3-5 hours,3-5 hours,0 hours,1-2 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Strongly agree,Agree,Excellent,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Often,Very wrong,Agree,
6th,11,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,0 hours,1-2 hours,7,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Wouldnt change my popularity,More popular,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Excellent,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Often,Often,Often,Always,Very wrong,Agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,0 hours,1-2 hours,0 hours,3-5 hours,0 hours,0 hours,1-2 hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Excellent,Agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Never,Never,Wrong,Agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,3-5 hours,0 hours,1-2 hours,3-5 hours,4,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Less popular,Less popular,Less popular,Less popular,Disagree,Agree,Strongly agree,Average,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Often,Often,Often,Sometimes,Very wrong,Agree,
6th,11,Female,"In a small city or town, less than 5,000 population",Once,with a parent/s,0 hours,0 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,1-2 hours,1,Less than 1 time per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Above average,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Often,Always,Very wrong,Agree,
6th,11,Female,On a farm,None,with a parent/s,3-5 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,3-5 hours,3-5 hours,1-2 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Strongly agree,Agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Sometimes,Always,Sometimes,Never,Very wrong,Agree,
6th,11,Female,On a farm,None,with a parent/s,3-5 hours,3-5 hours,-1,3-5 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,3,2 times per day,-1,0 days,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Strongly agree,Agree,.,.,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Agree,Above average,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Always,Often,Often,Always,Very wrong,Agree,
6th,11,Female,On a farm,None,with a parent/s,0 hours,0 hours,0 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Often,Often,Often,Always,Very wrong,Disagree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,0 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,0 hours,6-10 hours,3,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Agree,Average,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Always,Often,Very wrong,Agree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Excellent,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Always,Always,-1,Very wrong,Strongly agree,
6th,11,Female,"In a small city or town, less than 5,000 population",Once,with a parent/s,1-2 hours,1-2 hours,0 hours,0 hours,1-2 hours,1-2 hours,0 hours,0 hours,5,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Agree,Above average,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Sometimes,Always,Wrong,Agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,1-2 hours,0 hours,0 hours,1-2 hours,3-5 hours,1-2 hours,3-5 hours,1-2 hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Disagree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Always,Often,Always,Always,Very wrong,Strongly agree,
6th,11,Female,"In a large city over 30,000 population",Once,with a parent/s,1-2 hours,1-2 hours,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,3-5 hours,3,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Often,Always,-1,.,.,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,1-2 hours,6-10 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,5,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,.,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Often,Always,Often,Very wrong,Strongly agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,3-5 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Less popular,Less popular,Agree,Agree,Agree,Excellent,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Often,-1,Always,Sometimes,Very wrong,Agree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,0 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,1-2 hours,5,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Often,Often,Often,Always,Very wrong,Agree,
